DATE,RHEACBW027SBOG
2010-10-13,589.4964
2010-10-20,588.4732
2010-10-27,587.6007
2010-11-03,586.7684
2010-11-10,586.361
2010-11-17,585.7207
2010-11-24,584.7781
2010-12-01,583.8784
2010-12-08,583.4903
2010-12-15,582.2499
2010-12-22,581.1863
2010-12-29,579.7522
2011-01-05,578.9782
2011-01-12,578.3311
2011-01-19,577.642
2011-01-26,577.0806
2011-02-02,576.1019
2011-02-09,575.4415
2011-02-16,574.6075
2011-02-23,574.0868
2011-03-02,572.9087
2011-03-09,572.827
2011-03-16,571.96
2011-03-23,571.6037
2011-03-30,570.464
2011-04-06,569.8827
2011-04-13,569.228
2011-04-20,569.0486
2011-04-27,568.1578
2011-05-04,567.5663
2011-05-11,567.053
2011-05-18,566.4711
2011-05-25,565.8461
2011-06-01,565.2477
2011-06-08,564.597
2011-06-15,564.0221
2011-06-22,563.5827
2011-06-29,562.4232
2011-07-06,562.0245
2011-07-13,561.2271
2011-07-20,560.6913
2011-07-27,559.4945
2011-08-03,558.976
2011-08-10,558.756
2011-08-17,557.8232
2011-08-24,557.1869
2011-08-31,557.1997
2011-09-07,556.9538
2011-09-14,556.3642
2011-09-21,555.5518
2011-09-28,555.5102
2011-10-05,554.5248
2011-10-12,553.9863
2011-10-19,553.6803
2011-10-26,552.832
2011-11-02,552.4006
2011-11-09,551.9009
2011-11-16,551.9645
2011-11-23,551.3111
2011-11-30,550.5716
2011-12-07,549.7917
2011-12-14,549.0616
2011-12-21,548.5853
2011-12-28,550.3198
2012-01-04,550.6853
2012-01-11,549.6069
2012-01-18,548.9903
2012-01-25,548.3043
2012-02-01,552.9803
2012-02-08,552.0512
2012-02-15,551.0365
2012-02-22,550.2785
2012-02-29,549.5849
2012-03-07,548.4443
2012-03-14,547.5354
2012-03-21,546.9382
2012-03-28,546.17
2012-04-04,546.3656
2012-04-11,545.7239
2012-04-18,545.0689
2012-04-25,544.474
2012-05-02,543.8787
2012-05-09,543.2206
2012-05-16,542.4969
2012-05-23,542.0646
2012-05-30,541.2275
2012-06-06,540.7166
2012-06-13,539.7682
2012-06-20,539.0477
2012-06-27,538.2335
2012-07-04,536.3729
2012-07-11,535.9505
2012-07-18,535.2337
2012-07-25,534.2229
2012-08-01,533.3984
2012-08-08,532.696
2012-08-15,531.4897
2012-08-22,530.7788
2012-08-29,529.7172
2012-09-05,528.8336
2012-09-12,527.6667
2012-09-19,526.9879
2012-09-26,525.7192
2012-10-03,524.5004
2012-10-10,523.7061
2012-10-17,522.4394
2012-10-24,521.5145
2012-10-31,520.435
2012-11-07,520.3277
2012-11-14,519.5052
2012-11-21,519.0983
2012-11-28,518.1205
2012-12-05,517.025
2012-12-12,516.1233
2012-12-19,515.4098
2012-12-26,514.4703
2013-01-02,513.4748
2013-01-09,512.4806
2013-01-16,511.452
2013-01-23,510.7231
2013-01-30,510.0868
2013-02-06,509.3633
2013-02-13,509.1
2013-02-20,508.8252
2013-02-27,508.0247
2013-03-06,507.0361
2013-03-13,506.2723
2013-03-20,505.6627
2013-03-27,504.1807
2013-04-03,502.9645
2013-04-10,501.5726
2013-04-17,499.4847
2013-04-24,498.3979
